cik_str,sic,sicDescription
18937,3990,Miscellaneous Manufacturing Industries
23249,2200,Textile Mill Products
19033,,
23197,3663,Radio & Tv Broadcasting & Communications Equipment
19047,3823,"Industrial Instruments For Measurement, Display, and Control"
23248,4911,Electric Services
19283,,
23252,,
19289,,
21212,1520,General Bldg Contractors - Residential Bldgs
23217,2000,Food and Kindred Products
19034,,
23341,3089,"Plastics Products, NEC"
19342,7948,"Services-Racing, Including Track Operation"
21267,4922,Natural Gas Transmission
23233,,
18926,4813,Telephone Communications (No Radiotelephone)
23419,,
19119,,
23355,,
19392,,
23447,4911,Electric Services
19149,2750,Commercial Printing
23432,4924,Natural Gas Distribution
19161,3714,Motor Vehicle Parts & Accessories
20906,,
23304,2211,"Broadwoven Fabric Mills, Cotton"
19469,,
23478,,
19475,,
23426,4911,Electric Services
19399,6022,State Commercial Banks
23593,6798,Real Estate Investment Trusts
19353,5621,Retail-Women's Clothing Stores
23607,,
19144,2451,Mobile Homes
23657,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes)
19252,1311,Crude Petroleum & Natural Gas
23533,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
19150,2621,Paper Mills
23482,,
19481,,
23259,4813,Telephone Communications (No Radiotelephone)
19489,6021,National Commercial Banks
21438,3661,Telephone & Telegraph Apparatus
23503,3679,"Electronic Components, NEC"
19600,,
20369,,
22356,6022,State Commercial Banks
19411,8060,Services-Hospitals
19520,2834,Pharmaceutical Preparations
23752,2621,Paper Mills
19572,,
23778,2860,Industrial Organic Chemicals
19532,,
23632,4931,Electric & Other Services Combined
19446,3841,Surgical & Medical Instruments & Apparatus
23910,4941,Water Supply
19584,8082,Services-Home Health Care Services
21271,2911,Petroleum Refining
21614,,
21627,3634,Electric Housewares & Fans
21610,9995,Non-Operating Establishments
